id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
308273,SEQM,large_airport,"Mariscal Sucre International Airport",-0.125399,-78.354306,7841,SA,Ecuador,EC,"Pichincha Province",EC-P,P,Quito,1,SEQM,UIO,UIO,https://www.aeropuertoquito.aero/?lang=en,https://en.wikipedia.org/wiki/Mariscal_Sucre_International_Airport,"Nuevo Aeropuerto Internacional Mariscal Sucre",1000,2024-05-09T15:00:40+00:00
6056,SEGU,large_airport,"José Joaquín de Olmedo International Airport",-2.15742,-79.883598,19,SA,Ecuador,EC,"Guayas Province",EC-G,G,Guayaquil,1,SEGU,GYE,,,https://en.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_de_Olmedo_International_Airport,"Simon Bolivar International Airport",1050,2021-07-31T17:42:30+00:00
6055,SEGS,small_airport,"Seymour Galapagos Ecological Airport",-0.453758,-90.2659,207,SA,Ecuador,EC,"Galapagos Province",EC-W,W,"Isla Baltra",1,SEGS,GPS,,,https://en.wikipedia.org/wiki/Seymour_Airport,,150,2023-10-18T20:59:45+00:00
6073,SEQU,heliport,"Mariscal Sucre Air Base",-0.136782,-78.490598,9228,SA,Ecuador,EC,"Pichincha Province",EC-P,P,Quito,0,,,,http://www.aeropuertoquito.aero/,https://en.wikipedia.org/wiki/Old_Mariscal_Sucre_International_Airport,"Quito, Ecuador, Dangerous, Closed, Mountains, Volcano, America, Middle of the world, SEQU",475,2022-11-24T09:06:36+00:00
6079,SEST,small_airport,"San Cristóbal Airport",-0.910206,-89.617401,62,SA,Ecuador,EC,"Galapagos Province",EC-W,W,"Puerto Baquerizo Moreno",1,SEST,SCY,,,https://en.wikipedia.org/wiki/San_Cristóbal_Airport,,150,2023-11-16T00:01:42+00:00
6054,SECU,medium_airport,"Mariscal Lamar Airport",-2.88947,-78.984398,8306,SA,Ecuador,EC,"Azuay Province",EC-A,A,Cuenca,1,SECU,CUE,,,https://en.wikipedia.org/wiki/Mariscal_Lamar_International_Airport,,750,2018-09-16T04:08:13+00:00
6066,SEMT,medium_airport,"Eloy Alfaro International Airport",-0.9460780024528503,-80.67880249023438,48,SA,Ecuador,EC,"Manabi Province",EC-M,M,Manta,1,SEMT,MEC,,,https://en.wikipedia.org/wiki/Manta_Air_Base,,750,2008-06-13T14:30:04+00:00
41131,SEII,small_airport,"General Villamil Airport",-0.942628,-90.953003,35,SA,Ecuador,EC,"Galapagos Province",EC-W,W,"Puerto Villamil",1,SEII,IBB,,,,,100,2022-01-14T14:45:05+00:00
6053,SECO,medium_airport,"Francisco De Orellana Airport",-0.462886,-76.986801,834,SA,Ecuador,EC,"Orellana Province",EC-D,D,Coca,1,SECO,OCC,,,https://en.wikipedia.org/wiki/Francisco_de_Orellana_Airport,,750,2024-05-16T20:26:14+00:00
6061,SELT,medium_airport,"Cotopaxi International Airport",-0.906833,-78.615799,9205,SA,Ecuador,EC,"Cotopaxi Province",EC-X,X,Latacunga,1,SELT,LTX,,,https://en.wikipedia.org/wiki/Cotopaxi_International_Airport,"Latacunga, Vulcano, Ecuador, Cargo, Long runway, Height",500,2021-07-31T17:40:42+00:00
6084,SETN,medium_airport,"Carlos Concha Torres International Airport",0.978519,-79.626602,32,SA,Ecuador,EC,"Esmeraldas Province",EC-E,E,Tachina,1,SETN,ESM,,,https://en.wikipedia.org/wiki/Colonel_Carlos_Concha_Torres_Airport,"General Rivadeneira",500,2023-09-21T01:16:06+00:00
6075,SERO,medium_airport,"Santa Rosa - Artillery Colonel Victor Larrea International Airport",-3.441986,-79.996957,20,SA,Ecuador,EC,"El Oro Province",EC-O,O,"Santa Rosa",1,SERO,ETR,,,https://en.wikipedia.org/wiki/Santa_Rosa_International_Airport,"Machala International Airport",500,2022-11-24T07:39:40+00:00
309411,TNW,medium_airport,"Jumandy Airport",-1.060185,-77.580525,1234,SA,Ecuador,EC,"Napo Province",EC-N,N,Ahuano,0,SEJD,TNW,,http://www.dgac.gob.ec/tena/,https://en.wikipedia.org/wiki/Jumandy_Airport,Tena,250,2023-10-28T00:01:56+00:00
6051,SEAM,medium_airport,"Chachoán Regional Airport",-1.21207,-78.5746,8502,SA,Ecuador,EC,"Tungurahua Province",EC-T,T,Ambato,0,SEAM,ATF,,,https://en.wikipedia.org/wiki/Chachoan_Airport,"Chachoan, Izamba",250,2023-09-22T15:03:46+00:00
